tree_type_botanic,wikidata_id,citree_name
Crataegus species,Q132557,Crataegus
Crataegus x lavallei,Q1693676,Lederblättriger Weißdorn
Crataegus x prunifolia,Q15536927,Crataegus prunifolia
Cryptomeria japonica,Q147388,Cryptomeria japonica
Cunninghamia lanceolata,Q149115,Cunninghamia lanceolata
Cupressus arizonica,Q670040,Cupressus arizonica
Cupressus  species,Q146911,Cupressus
Cydonia oblonga,Q43300,Cydonia oblonga
Davidia involukrata,Q334697,Davidia involucrata
Diospyros kaki,Q158482,Diospyros kaki
Elaeagnus angustifolia,Q157969,Elaeagnus angustifolia
Euodia hupehensis,Q837237,Tetradium daniellii
Euonymus europaeus,Q161379,Euonymus europaeus
Evodia hupehensis,Q837237,Tetradium daniellii
Fagus species,Q25403,
Fagus sylvatica,Q146149,Fagus sylvatica
Fagus sylvatica 'Asplenifolia',Q146149,Fagus sylvatica
Fagus sylvatica 'Atropunicea',Q110765786,Fagus sylvatica 'Atropunicea'
Fagus sylvatica 'Atropunicea Pendula',Q146149,Fagus sylvatica
Fagus sylvatica 'Dawyck Purple',Q130389528,Fagus sylvatica 'Dawyck Purple'
Fagus sylvatica 'Fastigata',Q146149,Fagus sylvatica
Fagus sylvatica 'Laciniata',Q146149,Fagus sylvatica
Fagus sylvatica 'Pendula',Q146149,Fagus sylvatica
Fagus sylvatica 'Purpurea',Q146149,Fagus sylvatica
Fagus sylvatica 'Purpurea Pendula',Q146149,Fagus sylvatica
Fagus sylvatica 'Quercifolia',Q146149,Fagus sylvatica
Fraxinus americana,Q1193369,Fraxinus americana
Fraxinus angustifolia,Q518949,Fraxinus angustifolia
Fraxinus angustifolia 'Raywood',Q130355880,Fraxinus angustifolia 'Raywood'
Fraxinus excelsior,Q156907,Fraxinus excelsior
Fraxinus excelsior 'Diversifolia',Q110766606,Fraxinus excelsior 'Diversifolia'
Fraxinus excelsior 'Pendula',Q130374687,Fraxinus excelsior 'Pendula'
Fraxinus excelsior 'Westhof's Glorie',Q110766601,Fraxinus excelsior 'Westhof's Glorie'
Fraxinus latifolia,Q1581524,Fraxinus latifolia
Fraxinus ornus,Q161421,Fraxinus ornus
Fraxinus ornus `Mecsek`,Q161421,Fraxinus ornus
Fraxinus  species,Q128887,
Ginkgo biloba,Q43284,Ginkgo biloba
Gleditsia triacanthos,Q157650,
Gleditsia triacanthos 'Inermis',Q119410364,Gleditsia triacanthos f. inermis
Gleditsia triacanthos 'Skyline',Q131573892,Gleditsia triacanthos ‘Skyline’
Gleditsia triacanthos 'Sunburst',Q110766967,Gleditsia triacanthos 'Sunburst'
Gymnocladus dioicus,Q549418,Gymnocladus dioicus
Halesia carolina,Q3125935,Halesia carolina
Hippophae rhamnoides,Q165378,Hippophae rhamnoides
Ilex aquifolium,Q192190,Ilex aquifolium
Ilex  species,Q117085,Ilex
Ilex x altaclarensis,Q21169985,
Juglans nigra,Q852572,Juglans nigra
Juglans regia,Q46871,Juglans regia
Juglans  species,Q2453469,
Juniperus chinensis,Q157697,Juniperus chinensis
Juniperus communis,Q26325,Juniperus communis
Juniperus species,Q25662,Juniperus
Juniperus virginiana,Q157522,Juniperus virginiana
Koelreuteria paniculata,Q844835,Koelreuteria paniculata
Laburnum anagyroides,Q147939,Laburnum anagyroides
Laburnum x water.'Vossii',Q12317600,Laburnum × watereri
Larix decidua,Q146048,Larix decidua
Larix kaempferi,Q147439,Larix kaempferi
Larix  species,Q25618,Larix
Liquidambar orientalis,Q2093169,Liquidambar orientalis
Liquidambar  species,Q183543,Liquidambar
Liquidambar styraciflua,Q469652,Liquidambar styraciflua
Liriodendron tulipifera,Q158783,Liriodendron tulipifera
Magnolia acuminata,Q1249099,Magnolia acuminata
Magnolia grandiflora,Q161116,Magnolia grandiflora
Magnolia hypoleuca,Q50844817,Magnolia hypoleuca
Magnolia kobus,Q942409,Magnolia kobus
Magnolia liliiflora,Q942031,Magnolia liliiflora
Magnolia macrophylla,Q1093540,Magnolia macrophylla
Magnolia species,Q157017,Magnolia
Magnolia stellata,Q839507,Magnolia stellata
Magnolia x soulangiana,Q731443,Magnolia × soulangeana
Malus communis,Q18674606,Malus domestica
Malus domestica,Q18674606,Malus domestica
Malus domestica `Dülmener Herbstrosenapfel`,Q18674606,Malus domestica
Malus domestica `Holsteiner Cox`,Q18674606,Malus domestica
Malus domestica `Ravensberger`,Q18674606,Malus domestica
Malus domestica `Schöner aus Boskoop`,Q18674606,Malus domestica
Malus 'Evereste',Q3396010,Malus 'Evereste'
Malus floribunda,Q1683370,Malus × floribunda
Malus 'Golden Hornet',Q99646388,Golden Hornet
Malus `Royalty`,Q15224657,Malus ‘Royalty’
Malus sargentii,Q4992558,Malus sargentii
Malus  species,Q104819,
Malus sylvestris,Q47161,Malus sylvestris
Malus sylvestris Aggregat,Q47161,Malus sylvestris
Malus toringo,Q52626848,
Malus trilobata,Q10951249,Malus trilobata
Malus tschonoskii,Q1470571,Malus tschonoskii
Malus x moerlandsii,Q50843985,Malus ×moerlandsii
Malus x purpurea,Q886464,Malus × purpurea
Malus x purpurea 'Profusion',Q886464,Malus × purpurea
Mespilus germanica,Q146186,Mespilus germanica
