name_botanic,strain,wikidata_id,baumart_bo
Crataegus x lavallei Hénricq. ex Lavallée 'Carrierei',Carrierei,Q1693676,Crataegus x lavallei
Crataegus x persimilis Sarg. 'MacLeod' (C.x prunifolia Pers.),Allgemein,Q15536927,Crataegus x prunifolia
Cupressus arizonica Greene var. arizonica,Allgemein,Q670040,Cupressus arizonica
Cupressus sempervirens L.,Allgemein,,
Cytisus scoparius (L.) Link subsp. scoparius,Allgemein,,
Diospyros lotus L.,Allgemein,,
Diospyros virginiana L.,Allgemein,,
Elaeagnus angustifolia L. var. angustifolia,Allgemein,Q157969,Elaeagnus angustifolia
Elaeagnus commutata Bernh. ex Rydb.,Allgemein,,
Eucommia ulmoides Oliv.,Allgemein,,
Euodia hupehensis Dode (Tetradium daniellii (Benn.) Hartl.),Allgemein,Q837237,Euodia hupehensis
Euonymus europaeus L. var. europaeus,Allgemein,Q161379,Euonymus europaeus
Fagus sylvatica L.,Allgemein,Q146149,Fagus sylvatica
Forsythia suspensa (Thunb.) Vahl var. suspensa,Allgemein,,
Fraxinus angustifolia Vahl subsp. angustifolia,Allgemein,Q518949,Fraxinus angustifolia
Fraxinus excelsior L.,Allgemein,Q156907,Fraxinus excelsior
Fraxinus excelsior L.,Altena,Q156907,Fraxinus excelsior
Fraxinus excelsior L.,Atlas,Q156907,Fraxinus excelsior
Fraxinus excelsior L.,Diversifolia,Q156907,Fraxinus excelsior
Fraxinus excelsior L.,Geessink,Q156907,Fraxinus excelsior
Fraxinus excelsior L.,Globosa,Q156907,Fraxinus excelsior
Fraxinus excelsior L.,Westhof's Glorie,Q156907,Fraxinus excelsior
Fraxinus ornus L.,Allgemein,Q161421,Fraxinus ornus
Fraxinus ornus L.,Mecsek,Q161421,Fraxinus ornus
Fraxinus ornus L.,Rotterdam,Q161421,Fraxinus ornus
Fraxinus pallisiae Wimott ex Pallis,Allgemein,,
Fraxinus pennsylvanica Marshall var. pennsylvanica,Allgemein,,
Fraxinus quadrangulata Michx.,Allgemein,,
Fraxinus syriaca Boiss. (Franxinus angustifolia Vahl subsp. syriaca (Boiss.) Yalt),Allgemein,,
Fraxinus xanthoxyloides (G.Don) DC.,Allgemein,,
Ginkgo biloba L.,Allgemein,Q43284,Ginkgo biloba
Ginkgo biloba L.,Fastigiata Blagon,Q43284,Ginkgo biloba
Ginkgo biloba L.,Princeton Sentry,Q43284,Ginkgo biloba
Gleditsia japonica Micq.,Allgemein,,
Gleditsia sinensis Lam.,Allgemein,,
Gleditsia triacanthos L.,Allgemein,Q161250,Gleditsia triacanthos
Gleditsia triacanthos L.,Inermis,Q161250,Gleditsia triacanthos
Gleditsia triacanthos L.,Shademaster,Q161250,Gleditsia triacanthos
Gleditsia triacanthos L.,Skyline,Q161250,Gleditsia triacanthos
Gleditsia triacanthos L.,Sunburst,Q161250,Gleditsia triacanthos
Gymnocladus dioicus (L.) K. Koch,Allgemein,Q549418,Gymnocladus dioicus
Hippophaë rhamnoides L. susp. rhamnoides,Allgemein,Q165378,Hippophae rhamnoides
Idesia polycarpa Maxim.,Allgemein,,
Juglans regia L. subsp. regia,Allgemein,Q46871,Juglans regia
Juniperus communis L. subsp. communis,Allgemein,Q26325,Juniperus communis
Juniperus excelsa M. Bieb.,Allgemein,,
Juniperus foetidissima Willd.,Allgemein,,
Juniperus oxycedrus L. subsp. oxycedrus,Allgemein,,
Juniperus rigida Siebold et Zucc.,Allgemein,,
Juniperus scopulorum Sarg.,Allgemein,,
Juniperus virginiana L.,Allgemein,Q157522,Juniperus virginiana
Koelreuteria paniculata Laxm. var. paniculata,Allgemein,Q844835,Koelreuteria paniculata
Laburnum anagyroides Medik.,Allgemein,Q147939,Laburnum anagyroides
Ligustrum vulgare L.,Allgemein,,
Liquidambar styraciflura L.,Allgemein,,
Liquidambar styraciflura L.,Moraine,,
Liquidambar styraciflura L.,Paarl,,
Liriodendron tulipifera L.,Allgemein,Q158783,Liriodendron tulipifera
Liriodendron tulipifera L.,Fastigiata,Q158783,Liriodendron tulipifera
Lonicera tatarica L.,Allgemein,,
Lycium barbarum L.,Allgemein,,
Lycium chinense Mill. var. chinense,Allgemein,,
Maackia amurensis Rupr. et Maxim. var. amurensis,Allgemein,,
Maclura pomifera (Raf.) C.K. Schneid.,Allgemein,,
Magnolia acuminata,Allgemein,Q1249099,Magnolia acuminata
Magnolia denudata Desr.,Allgemein,,
Magnolia fraseri Walter,Allgemein,,
Magnolia grandiflora L.,Allgemein,Q161116,Magnolia grandiflora
Magnolia kobus DC.,Allgemein,Q942409,Magnolia kobus
Magnolia liliiflora Desr.,Allgemein,Q942031,Magnolia liliiflora
Magnolia macrophylla Michx.,Allgemein,Q1093540,Magnolia macrophylla
Magnolia obovata Thunb.,Allgemein,,
Magnolia officinalis Rehder et E.H. Wilson var. officinalis,Allgemein,,
Magnolia salicifolia (Siebold et Zucc.) Maxim.,Allgemein,,
Magnolia sargentiana Rehder et E.H. Wilson,Allgemein,,
Magnolia sieboldii K. Koch subsp. sieboldii,Allgemein,,
Magnolia stellata (Siebold et Zucc.) Maxim.,Allgemein,Q839507,Magnolia stellata
Magnolia tripetala (L.) L.,Allgemein,,
Magnolia virginiana L.,Allgemein,,
Magnolia wilsonii (Finet et Gagnep.) Rehder,Allgemein,,
Magnolia x loebneri Kache,Allgemein,,
Magnolia x soulangeana Soul.-Bod.,Allgemein,,
Magnolia x wiesneri Carrière,Allgemein,,
Mahonia bealei (Fortune) Carrière,Allgemein,,
Malus spec.,x purpurea Eleyi,,
Malus sylvestris Mill.,Allgemein,Q47161,Malus sylvestris
Malus trilobata,Allgemein,Q10951249,Malus trilobata
Malus tschonoskii (Maxim.) C.K. Scheid.,Allgemein,Q1470571,Malus tschonoskii
Mespilus germanica L.,Allgemein,Q146186,Mespilus germanica
Metasequoia glyptostroboides Hu et W.C. Cheng,Allgemein,Q156800,Metasequoia glyptostroboides
Morus alba L. var. alba,Allgemein,Q157307,Morus alba
Morus nigra L.,Allgemein,Q161040,Morus nigra
Nyssa sylvatica Marshall,Allgemein,Q3179665,Nyssa sylvatica
Ostrya carpinifolia Scop.,Allgemein,Q1367533,Ostrya carpinifolia
Ostrya virginiana (Mill.) K. Koch,Allgemein,,
Parrotia persica,Allgemein,Q1138533,Parrotia persica
Paulownia tomentosa (Thunb. Ex Murray) Steud.,Allgemein,Q157393,Paulownia tomentosa
Phellodendron amurense Rupr.,Allgemein,Q481711,Phellodendron amurense
Phellodendron sachalinense (Fr. Schmidt) Sarg.,Allgemein,,
Picea asperata Mast.,Allgemein,,
Picea omorika (Pancic) Purk.,Allgemein,Q147824,Picea omorika
Picea schrenkiana Fisch. et C.A. Mey,Allgemein,,
Pinus aristata Engelm. (Pinus longaeva D.K. Bailey),Allgemein,,
Pinus armandii Franch.,Allgemein,,
Pinus bungeana Zucc.ex Endl.,Allgemein,,
Pinus coulteri D. Don,Allgemein,,
Pinus heldreichii H. Christ,Allgemein,,
Pinus monophylla Torr. et Frém.,Allgemein,,
Pinus mugo Turra subsp. mugo,Allgemein,Q147475,Pinus mugo
