baumart_bo,baumart_de,wikidata_id
Prunus avium 'Plena',Gefülltblühende Vogelkirsche,Q130355207
Salix matsudana 'Tortuosa',Korkenzieher-Weide,Q26822180
Chamaecyparis species,Scheinzypresse,Q147791
Catalpa bignonioides,Gewöhnlicher Trompetenbaum,Q163831
Crataegus species,Weißdorn,Q132557
Abies nordmanniana,Nordmanns-Tanne,Q148920
Prunus serrulata 'Amanogawa',Japanische Säulenkirsche,Q5821037
Gleditsia triacanthos,Gleditsie,Q161250
Picea glauka,kanadische Fichte,Q128116
Pinus strobus,Weymouthskiefer,Q157230
Davidia involukrata,Taschentuchbaum,Q334697
Gleditsia triacanthos 'Sunburst',Gleditschie 'Sunburst',Q110766967
Acer palmatum,Fächer-Ahorn,Q269224
Salix species,Weide,Q36050
Betula nigra,Schwarz-Birke,Q1510231
Magnolia kobus,Kobushi-Magnolie,Q942409
Acer saccharinum 'Wieri',Sorte vom Silber-Ahorn,Q158301
Quercus frainetto,Ungarische Eiche,Q857075
Acer platanoides 'Faassen's Black',Schwarzblättriger-Ahorn,Q110765992
Cryptomeria japonica,Sicheltanne,Q147388
Acer monspessulanum,Französischer Ahorn,Q161388
Acer species,Ahorn,Q42292
Abies alba,Weiß-Tanne,Q146992
Picea orientalis,Orient-Fichte,Q1145286
Thuja plicata,Riesen-Lebensbaum,Q147417
Malus sylvestris,Holz-Apfel,Q47161
Betula pendula 'Tristis',Hängebirke,Q156895
Quercus species,Eiche,Q12004
Alnus cordata,Italienische Erle,Q1543689
Acer campestre 'Elsrijk',Kegel-Feldahorn,Q4673145
Acer saccharum,Zucker-Ahorn,Q214733
Ilex x altaclarensis,Großblättrige Stechpalme,Q117085
Chamaecyparis obtusa,Hinoki-Scheinzypresse,Q917187
Juniperus communis,Gemeiner Wacholder,Q26325
Fagus sylvatica 'Fastigata',Säulen-Buche,Q110765790
Sorbus aria 'Magnifica',Sorte der Mehlbeere,Q157960
Quercus robur 'Fastigiata Aurea',Sorte der Stieleiche,Q165145
Acer griseum,Zimt-Ahorn,Q203985
Larix kaempferi,Japanische Lärche,Q147439
Cercis siliquastrum,Gemeiner Judasbaum,Q29488
Acer pseudoplatanus 'Leopoldii',Sorte vom Berg-Ahorn,Q114854806
Cedrus atlantica,Atlas-Zeder,Q623489
Nacherfassung,Nacherfassung,
Betula pendula 'Dalecarlica',Geschlitztblättrige Birke,Q89091247
Picea pungens,Stech-Fichte,Q146025
Pyrus species,Birne,Q434
Magnolia x soulangiana,Tulpen-Magnolie,Q731443
Crataegus x prunifolia,Pflaumenblättriger Weißdorn,Q15536927
Amelanchier laevis,Kahle Felsenbirne,Q163825
Nyssa sylvatica,Wald-Tupelobaum,Q3179665
Pinus wallichiana,Tränen-Kiefer,Q747652
Fagus sylvatica 'Laciniata',Schlitzblättrige Buche,Q146149
Prunus mahaleb,Weichsel-Kirsche,Q161920
Prunus sargentii,Sargents-Kirsche,Q163039
Sorbus species,Eberesche,Q146198
Cornus species,Hartriegel,Q159545
Catalpa species,Trompetenbaum,Q158072
Malus x moerlandsii,Zierapfel,Q50843985
Populus canescens,Bastard-Schwarz-Pappel,Q149553
Amelanchier laevis 'Ballerina',Essbare Felsenbirne,Q163825
Corylus avellana,Haselnuß,Q124969
Morus alba,Weiße Maulbeere,Q157307
Cydonia oblonga,Quitte,Q43300
Euonymus europaeus,Pfaffenhütchen,Q161379
Acer cappadocicum,Kolchischer-Ahorn,Q766133
Tilia cordata 'Rancho',Kleinkronige Winter-Linde,Q158746
Juniperus chinensis,Chinesischer Wacholder,Q157697
Acer tataricum,Tatarischer Steppen-Ahorn,Q162728
Picea pungens 'Glauca',Blau-Fichte,Q146025
Crataegus monogyna 'Stricta',Weißdorn 'Stricta',Q130237568
Populus x berolinensis,Berliner Lorbeer-Pappel,Q4460779
Catalpa bignonioides 'Nana',Kugel-Trompetenbaum,Q2073370
Tsuga heterophylla,Westliche Hemlocktanne,Q1144409
Quercus imbricaria,Schindel-Eiche,Q528713
Fraxinus angustifolia,Schmalblättrige Esche,Q518949
Betula jacquemontii,Himalaja-Birke,Q38528595
Robinia species,Robinie,Q157417
Magnolia stellata,Stern-Magnolie,Q839507
Ulmus americana,Amerikanische Ulme,Q469382
Tilia species,Linde,Q127849
Fraxinus excelsior 'Diversifolia',Einblatt-Esche,Q110766606
Picea sitchensis,Sitka-Fichte,Q147426
Pinus nigra ssp. nigra,Östereichische Schwarz-Kiefer,Q4730748
Populus alba 'Pyramidalis',Sorte der Weiß-Pappel,Q146269
Paulownia tomentosa,Blauglockenbaum,Q157393
Malus x purpurea 'Profusion',Sorte vom Purpurapfel,Q886464
Malus floribunda,Japanischer Apfel,Q1683370
Liquidambar species,Amberbaum,Q183543
Abies species,Tanne,Q25350
Ulmus x hollandica 'Hybriden',Hybrid-Ulme,Q131113
Celtis occidentalis,Nordamerikanischer Zürgelbaum,Q470006
Acer pseudoplatanus 'Atropurpureum',Sorte vom Berg-Ahorn,Q110765849
Betula platyphylla,Mandschurische Birke,Q1373854
Prunus subhirtella 'Autumnalis',Winterblühende Berg-Kirsche,Q10860787
Quercus pubescens,Flaum-Eiche,Q161415
Betula maximowicziana,Maximowiczs Birke,Q1623892
Pyrus calleriana,Chinesische Birne,Q3079266
Fraxinus ornus `Mecsek`,Kugel Blumenesche,Q161421
Platanus species,Platane,Q163025
Quercus robur 'Fastigiata Kloster',Stieleiche 'Fastigiata Kloster',Q165145
Picea species,Fichte,Q26782
Alnus species,Erle,Q25239
Prunus domestica ssp. Syriaca,"Pflaume,Mirabelle",Q149741
Robinia pseudoacacia 'Unifoliola',Einblättrige Robinie,Q130467230
Sambucus nigra,Schwarzer Holunder,Q22701
Ulmus carpinifolia 'Wredei',Goldulme,Q1536195
Malus 'Golden Hornet',Zierapfel,Q99646388
Cupressus species,Zypresse,Q146911
Acer japonicum,Japanischer Ahorn,Q149269
Taxodium distichum,Sumpfzypresse,Q148950
Tilia americana,Amerikanische Linde,Q163981
Laburnum anagyroides,Gemeiner Goldregen,Q147939
Betula species,Birke,Q25243
Cornus kousa,Japanischer Hartriegel,Q728441
Sequoiadendron giganteum,Mammutbaum,Q149851
Sequoia sempervirens,Küsten-Sequoie,Q150129
Euodia hupehensis,Samthaarige Stinkesche,Q837237
Ulmus glabra 'Pendula',Hänge-Ulme,Q131673698
Fagus sylvatica 'Atropunicea',Blut-Buche,Q886511
Malus trilobata,Dreilappiger Apfel,Q10951249
Schwedische Mehlbeere,Sorbus intermedia `Brouwers`,Q27980
Abies grandis,Riesen-Tanne,Q147434
Acer platanoides 'Drummondii',Sorte des Spitz-Ahorns,Q26745
Pinus parviflora 'Glauca',Mädchenkiefer,Q178116
Malus 'Evereste',Zierapfel,Q3396010
Betula utilis 'Doorenbos',Himalaya Birke Doorenbos,Q28112572
Magnolia macrophylla,Großblättrige Magnolie,Q1093540
Cedrus atlantica 'Glauca',Hänge-Zeder,Q112257937
Picea obovata,Sibirische Fichte,Q1137607
Quercus turneri 'Pseudoturneri',Wintergrüne Eiche,Q1325491
Aralia elata,Japanischer Angelicabaum,Q284736
Betula lenta,Zucker-Birke,Q227763
Betula lutea,Gelb-Birke,Q1499241
Pinus species,Kiefer,Q12024
Ilex species,Stechpalme,Q117085
Fraxinus excelsior 'Westhof's Glorie',Sorte der Esche,Q110766601
Cornus alba,Tatarischer Hartriegel,Q158228
Taxus baccata 'Fastigiata',Säuleneibe,Q110767650
Cupressus arizonica,Zypresse,Q670040
Acer platanoides `Royal Red`,"Spitzahorn ""Royal Red""",Q110765996
Acer rubrum 'Armstrong',Rotahorn,Q161364
Prunus persica,Pfirsich,Q13189
Quercus x turneri 'Pseudoturneri',Immergrüne-Eiche,Q1325491
Acer platanoides 'Emerald Queen',Sorte vom Spitz-Ahorn,Q129511342
Quercus palustris 'Green Dwarf',Kugelsumpfeiche,Q161253
Sorbus aucuparia 'Edulis',Eßbare Eberesche,Q130467792
Quercus macranthera,Persische Eiche,Q1105707
Quercus frainetto `Trump`,ungarische Eiche,Q857075
Quercus castaneifolia `Green Spire`,Kastanienblättrige Eiche,Q1010050
Fagus species,Buche,Q146149
Liquidambar orientalis,Morgenländischer Amberbaum,Q2093169
Mespilus germanica,Mispel,Q146186
Fagus sylvatica 'Quercifolia',Eichenblättrige Rotbuche,Q93327699
Fraxinus species,Esche,Q156907
Pyrus salicifolia,Weidenblättrige Birne,Q1591053
Metasequoia species,Urweltmammutbaum,Q1825748
Elaeagnus angustifolia,Schmalblättrige Ölweide,Q157969
Chamaecyparis pisifera,Sawara-Scheinzypresse,Q74068
Evodia hupehensis,Hupeh-Stinkesche,Q837237
Koelreuteria paniculata,Blasenesche,Q844835
Acer platanoides 'Dissectum',Geschlitzter Spitzahorn,Q129514890
Malus tschonoskii,Wollapfel,Q1470571
Rhamnus frangula,Faulbaum,Q11122869
Malus toringo,Japanischer Zierapfel,Q52626848
Abies procera,Edel-Tanne,Q1283223
Magnolia liliiflora,Purpur-Magnolie,Q942031
Acer platanoides 'Circinatum',Sorte vom Spitz-Ahorn,Q26745
Sorbus domestica,Speierling,Q159558
Quercus x hispanica,Spanische Eiche,Q15337558
Prunus x yedoensis,Yoshino-Kirsche,Q163078
Acer cappadocicum 'Rubrum',Kolchischer Blut-Ahorn,Q18470510
Quercus rubra 'Aurea',Sorte der Rot-Eiche,Q147525
Malus domestica `Dülmener Herbstrosenapfel`,`Dülmener Herbstrosenapfel`,
Acer davidii,Davids-Ahorn,Q657935
Viburnum rhytidophyllum,Runzelblättriger Schneeball,Q180606
Larix species,Lärche,Q25618
Carpinus species,Hainbuche,Q158776
Prunus serrulata 'Shidare-Sakura',Japanische Hängekirsche,Q165321
Pinus cembra,Zirbelkiefer,Q147278
Rhus typhina,Essig-Baum,Q148986
Platanus orientalis,Morgenländische Platane,Q161105
Populus balsamifera,Balsam-Pappel,Q149471
Salix cinerea,Asch-Weide,Q157540
Hippophae rhamnoides,Gemeiner Sanddorn,Q165378
Tilia Mongolica,Mongolische Linde,Q1944479
Juglans nigra,Schwarznuß,Q852572
Ulmus glabra 'Lutescens',Sorte der Berg- Ulme,Q7879473
Fraxinus latifolia,Oregon-Esche,Q1581524
Cornus controversa,Pagoden-Hartriegel,Q926249
Thuja species,Lebensbaum,Q147255
Halesia carolina,Schneeglöckchenbaum,Q3125935
Acer capillipes,Roter Schlangenhautahorn,Q1089472
Robinia Pseudoacacia `Semperflorens`,"Robinie ""Semperflorens""",Q130467211
Ulmus x hollandica 'Commelin',Sorte der Holländischen Ulme,Q504004
Salix pentandra,Lorbeer-Weide,Q158912
Zelkova serrata,Japanische Zelkove,Q920344
Acer platanoides 'Laciniatum',Sorte vom Spitz-Ahorn,Q26745
Abies concolor,Colorado-Tanne,Q145939
Abies koreana,Korea-Tanne,Q390100
Robinia pseudoacacia 'Fastigata',Sorte der Robinie,Q157417
Quercus muehlenbergii,Gelb Eiche,Q2611816
Robinia pseudoacacia 'Monophylla Fastigi',Sorte der Robinie,Q157417
Pyrus nivalis,Schneebirne,Q7263800
Amelanchier alnifolia,Erlen-Felsenbirne,Q164158
Alnus serrulata,Hasel-Erle,Q3926580
Ailanthus vilmoriana,Götterbaum,Q159570
Aesculus x carnea 'Briotii',Sorte der Roten Roßkastanie,Q130257124
Abies procera 'Glauca',Adels-Tanne,Q1283223
Acer macrophyllum,Großblättriger Ahorn,Q599523
Aesculus flava,Gelbe Pavie,Q159620
Salix alba 'Liempde',Sorte der Silber-Weide,Q156918
Acer x zoeschense,Zoeschener Ahorn,Q4673185
Sorbus aria 'Decaisneana',Sorte der Mehlbeere,Q157960
Betula albosinensis,Kupfer-Birke,Q1631520
Acer rufinerve,Rosthaariger Streifen-Ahorn,Q285744
Sciadopitys verticillata,Schirmtanne,Q161648
Rhamnus species,Faulbaum,Q11122869
Acer negundo 'Aureovariegatum',Gelbblättriger Eschen-Ahorn,Q9578320
Sambucus species,Holunder,Q131448
Sorbus arnoldiana,Eberesche,Q133698944
Pinus mugo,Berg-Kiefer,Q147475
Tilia cordata 'Greenspire',Sorte der Winter-Linde,Q130599614
Tilia x euchlora Selektion,Selektion der Krimlinde,Q159657
Gleditsia triacanthos 'Skyline',Gleditschie 'Skyline',Q131573892
Ulmus carpinifolia,Ulme,Q3547946
Fraxinus excelsior 'Pendula',Hänge-Esche,Q130374687
Juglans species,Walnußgewächs,Q46871
Fraxinus angustifolia 'Raywood',Sorte der Schmalblättrigen Esche,Q130355880
Juglans cinerea,Butternuß,Q630288
Fraxinus americana,Weiße Esche,Q1193369
Fagus sylvatica 'Purpurea Pendula',Trauer-Blut-Buche,Q146149
Fagus sylvatica 'Dawyck Purple',Säulenblutbuche 'Dawyck Purple',Q130389528
Fagus sylvatica 'Atropunicea Pendula',Trauer-Blut-Buche,Q110765786
Fagus sylvatica 'Asplenifolia',Farnblättrige Buche,Q16889035
acer buergerianum,Burgen Ahorn,Q941891
Picea abies 'Virgata',Schlangenfichte,Q11874202
Phellodendron amurense,Amur-Korkbaum,Q481711
Juniperus species,Wacholder,Q25662
Morus nigra,Schwarze Maulbeere,Q161040
Juniperus virginiana,Virginischer Wacholder,Q157522
Malus x purpurea,Purpur-Apfel,Q886464
Malus sargentii,Strauch-Apfel,Q4992558
Malus domestica `Schöner aus Boskoop`,Apfel `Schöner aus Boskoop`,Q18674606
Malus domestica `Ravensberger`,Apfel `Ravensberger`,Q18674606
Malus domestica `Holsteiner Cox`,Apfel `Holsteiner Cox`,Q18674606
Malus `Royalty`,Zierapfel,Q15224657
Laburnum x water.'Vossii',Voss' Goldregen,Q12317600
Magnolia hypoleuca,Japanische Großblatt-Magnolie,Q50844817
Magnolia grandiflora,Immergrüne Magnolie,Q161116
Magnolia acuminata,Gurken-Magnolie,Q1249099
Picea breweriana,Siskiyou-Fichte,Q476655
Acer platanoides 'Lorbergii',Sorte vom Spitz-Ahorn,Q26745
Pterocarya stenoptera,Chinesische Flügelnuß,Q2699896
Chamaecyparis nootkatensis,Nootka-Scheinzypresse,Q163811
Chamaecyparis lawsoniana 'Columnaris Glauca',Sorte der Lawsons Scheinzypresse,Q161360
Acer carpinifolium,Hainbuchen-Ahorn,Q284462
Cedrus libani,Libanon-Zeder,Q61105
Acer pseudoplatanus 'Erectum',Bergahorn 'Erectum',Q156944
Betula pendula 'Youngii',Trauerbirke,Q4085300
Betula pendula 'Purpurea',Purpurbirke,Q10431433
Sorbus aucuparia 'Fastigiata',Säuleneberesche,Q130467801
Pterocarya fraxinifolia,Kaukasische Flügelnu��,Q121749
Pseudotsuga macrocarpa,Großfrüchtige Douglasie,Q1425070
Prunus x blireana,Gefülltblühende Kirsch-Pflaume,Q190545
Prunus serrulata,Japanische Bl��ten-Kirsche,Q165321
Prunus incisa,Fuji-Kirsche,Q3269605
Tilia cordata 'Erecta',Sorte der Winter-Linde,Q158746
Prunus cerasus,Sauer-Kirsche,Q131517
Prunus cerasifera 'Atropurpurea',Sorte der Kirsch-Pflaume,Q146951
Prunus armeniaca,Kultur-Aprikose,Q37453
Syringa vulgaris,Garten-Flieder,Q6565319
Diospyros kaki,Kakipflaume,Q158482
Cunninghamia lanceolata,Spießtanne,Q149115
Crataegus oxyacantha 'Paul's Scarlet',Rotdorn,Q1281102
Taxus species,Eibe,Q179729
Crataegus coccinea,Scharlach-Weißdorn,Q3002196
Corylus species,Hasel,Q124969
Cladrastis lutea,Amerikanisches Gelbholz,Q87599757
Populus x canadensis 'Serotina',Serotina-Hybrig-Pappel,Q149622
Populus lasiocarpa,Chinesische Großblatt-Pappel,Q1306148
Tilia americana 'Nova',Sorte der Amerikanischen Linde,Q130533394
Pinus ponderosa,Gelb-Kiefer,Q460523
Sorbus hybrida,Nordische Mehlbeere,Q2532563
